31249 1000
0 18 1.403
0 22 5.471
0 67 2.85
0 87 0.974
0 127 2.735
0 129 4.687
0 151 2.614
0 161 1.615
0 217 0.538
0 222 3.325
0 223 1.742
0 252 2.896
0 266 3.393
0 296 0.235
0 298 3.981
0 313 0.028
0 327 3.433
0 342 1.126
0 351 2.343
0 367 6.101
0 369 1.141
0 372 3.127
0 395 1.378
0 397 5.185
0 411 2.216
0 412 0.048
0 427 7.615
0 478 1.821
0 490 1.569
0 504 1.546
0 513 2.512
0 565 4.435
0 617 5.494
0 712 6.018
0 722 5.772
0 723 1.836
0 756 0.235
0 766 8.269
0 782 3.74
0 793 2.812
1 6 1.059
1 62 2.479
1 76 1.526
1 83 1.687
1 92 3.857
1 96 5.026
1 99 3.187
1 136 3.679
1 164 1.936
1 189 1.594
1 238 5.864
1 291 2.117
1 302 2.589
1 315 0.039
1 317 2.593
1 364 1.162
1 367 5.797
1 406 1.282
1 421 3.226
1 444 4.762
1 487 5.34
1 559 1.369
1 587 2.403
1 591 1.29
1 594 3.974
1 610 1.063
1 621 3.888
1 628 0.956
1 630 2.384
1 641 1.315
1 690 1.419
1 722 6.884
1 728 4.233
1 748 4.336
1 759 4.817
1 768 2.339
1 781 0.404
1 783 1.719
1 798 1.674
2 5 2.745
2 52 2.484
2 87 3.415
2 98 1.509
2 114 3.223
2 134 6.243
2 143 7.156
2 217 1.982
2 223 3.756
2 231 0.566
2 232 4.311
2 234 1.648
2 302 0.635
2 309 0.813
2 314 3.635
2 353 3.184
2 354 3.951
2 362 1.348
2 396 1.639
2 412 2.168
2 468 2.967
2 476 4.556
2 477 0.33
2 481 3.087
2 500 7.516
2 544 1.386
2 587 4.176
2 612 4.5
2 618 3.349
2 639 8.008
2 670 3.317
2 722 3.497
2 731 4.837
2 733 4.62
2 749 4.246
2 753 2.046
3 8 0.935
3 47 4.534
3 57 1.029
3 79 3.739
3 134 2.151
3 144 2.145
3 187 1.475
3 221 2.6
3 239 5.967
3 246 5.263
3 251 0.099
3 340 3.674
3 377 3.734
3 385 1.172
3 443 8.055
3 449 5.105
3 488 1.777
3 507 3.569
3 514 1.761
3 523 3.424
3 562 2.994
3 580 4.963
3 588 4.81
3 589 1.208
3 651 6.185
3 655 4.822
3 666 3.07
3 697 2.271
3 715 2.347
3 723 2.377
4 9 1.973
4 13 4.366
4 84 0.104
4 161 2.985
4 168 4.483
4 185 0.619
4 205 3.841
4 221 1.369
4 223 4.73
4 232 5.029
4 240 2.839
4 253 5.139
4 276 0.482
4 278 0.272
4 282 2.024
4 296 6.273
4 323 2.364
4 327 0.358
4 346 1.215
4 360 2.889
4 369 7.997
4 394 7.993
4 398 3.612
4 403 0.535
4 418 5.555
4 458 0.328
4 486 6.76
4 499 2.231
4 502 4.072
4 517 0.142
4 554 3.208
4 566 6.784
4 612 8.693
4 633 3.845
4 654 1.912
4 658 1.011
4 679 3.002
4 690 2.799
4 705 5.324
4 742 5.677
4 779 6.422
4 799 0.929
5 19 5.586
5 21 1.565
5 67 3.107
5 84 0.029
5 86 4.64
5 90 1.011
5 91 1.811
5 107 0.909
5 129 3.153
5 148 4.875
5 158 6.424
5 159 2.227
5 193 2.933
5 232 2.699
5 235 5.111
5 240 4.328
5 282 1.167
5 291 2.021
5 314 4.679
5 332 2.474
5 343 3.69
5 344 3.768
5 346 1.477
5 369 4.365
5 384 3.249
5 422 0.54
5 444 3.705
5 445 0.786
5 555 0.045
5 575 3.0
5 592 0.867
5 606 2.362
5 640 5.014
5 652 1.841
5 663 5.035
5 715 1.17
5 772 7.129
5 783 2.995
6 0 5.186
6 8 3.01
6 20 4.482
6 21 5.216
6 22 1.901
6 25 3.157
6 52 2.105
6 85 7.153
6 90 0.291
6 91 4.819
6 159 3.713
6 176 6.867
6 185 7.324
6 204 4.359
6 228 4.302
6 235 2.803
6 277 2.859
6 278 2.287
6 347 2.323
6 364 0.871
6 385 6.275
6 393 0.843
6 397 1.708
6 399 6.076
6 441 3.174
6 464 2.219
6 480 5.544
6 507 1.978
6 514 9.216
6 528 4.456
6 545 6.048
6 547 0.225
6 550 3.052
6 557 0.47
6 570 2.261
6 606 2.362
6 615 3.665
6 639 3.221
6 640 1.674
6 645 4.843
6 649 6.094
6 655 1.092
6 664 4.138
6 674 4.748
6 694 2.381
6 697 1.21
6 741 4.823
6 751 3.467
6 766 3.311
6 775 5.828
7 35 3.984
7 49 1.12
7 86 2.342
7 108 3.707
7 113 1.876
7 126 1.713
7 127 1.585
7 172 1.616
7 175 1.848
7 179 0.402
7 212 2.552
7 217 2.897
7 304 2.172
7 305 2.071
7 315 0.287
7 361 1.439
7 366 0.351
7 369 1.276
7 371 2.032
7 412 6.03
7 413 2.479
7 428 0.568
7 516 1.315
7 535 2.055
7 545 3.991
7 574 2.476
7 589 1.898
7 593 2.959
7 619 1.066
7 634 0.171
7 641 3.158
7 661 0.849
7 688 2.311
7 717 0.448
7 758 1.83
8 29 1.487
8 44 3.517
8 53 2.268
8 67 0.678
8 100 6.006
8 105 0.517
8 108 3.154
8 127 2.576
8 146 2.665
8 171 2.128
8 177 3.793
8 198 2.413
8 238 2.394
8 291 0.098
8 292 1.413
8 305 3.103
8 317 0.678
8 361 1.908
8 387 0.292
8 397 4.298
8 399 0.864
8 406 0.976
8 418 2.732
8 443 2.729
8 501 2.176
8 547 3.438
8 548 1.519
8 585 4.914
8 586 4.215
8 602 2.017
8 623 2.115
8 625 4.073
8 671 0.44
8 708 1.532
8 729 3.179
8 738 0.016
8 764 5.729
8 797 5.29
9 4 4.259
9 5 3.168
9 23 3.691
9 28 3.546
9 50 3.939
9 76 1.089
9 130 1.661
9 145 5.059
9 160 3.325
9 180 2.277
9 239 1.399
9 241 1.677
9 268 2.023
9 298 0.659
9 304 2.215
9 309 4.06
9 312 5.872
9 317 1.801
